channel	pmt	cluster	global_number	gain	k_adc	rel_sens	code_per_pe	x	y	cur_count_rate_channel	amplitude	ignore_status

4 1 1 29 1.04 1.14 1.076 14.595 -59.35 -52.7 2 0 0
5 1 1 29 1.04 4.841 1.076 3.436 -59.35 -52.7 2 0 0
6 8 1 225 0.925 1.135 0.87 13.034 -75.32 25.05 3 0 0
7 8 1 225 0.925 4.419 0.87 3.349 -75.32 25.05 3 0 0
8 5 1 141 0.885 1.084 1.067 13.06 -55.43 -22.96 4 0 0
9 5 1 141 0.885 5.808 1.067 2.438 -55.43 -22.96 4 0 0
10 12 1 337 0.975 1.174 0.898 13.279 -71.4 54.79 5 0 0
11 12 1 337 0.975 5.125 0.898 3.043 -71.4 54.79 5 0 0
12 4 1 113 0.892 1.266 0.823 11.274 -83.15 -34.44 6 0 0
13 4 1 113 0.892 6.399 0.823 2.23 -83.15 -34.44 6 0 0
14 11 1 309 0.937 1.223 0.845 12.255 -99.12 43.31 7 0 0
15 11 1 309 0.937 6.074 0.845 2.468 -99.12 43.31 7 0 0
16 3 1 85 0.936 1.184 1.069 12.654 -87.06 -64.18 8 0 0
17 3 1 85 0.936 4.79 1.069 3.127 -87.06 -64.18 8 0 0
18 10 1 281 0.853 1.13 0.94 12.069 -103.03 13.56 9 0 0
19 10 1 281 0.853 4.42 0.94 3.086 -103.03 13.56 9 0 0
20 2 1 57 0.791 1.256 1.228 10.08 -63.26 -82.45 10 0 0
21 2 1 57 0.791 4.639 1.228 2.728 -63.26 -82.45 10 0 0
22 9 1 253 0.761 1.18 1.093 10.33 -79.23 -4.7 11 0 0
23 9 1 253 0.761 4.933 1.093 2.47 -79.23 -4.7 11 0 0
24 7 1 197 0.937 1.241 1.144 12.085 -35.55 -70.97 12 0 0
25 7 1 197 0.937 5.806 1.144 2.583 -35.55 -70.97 12 0 0
26 14 1 393 0.813 1.26 0.934 10.321 -51.52 6.78 13 0 0
27 14 1 393 0.813 5.181 0.934 2.511 -51.52 6.78 13 0 0
28 6 1 169 0.826 1.208 1.146 10.947 -31.63 -41.22 14 0 0
29 6 1 169 0.826 5.561 1.146 2.377 -31.63 -41.22 14 0 0
30 13 1 365 0.767 1.204 0.986 10.192 -47.6 36.53 15 0 0
31 13 1 365 0.767 5.553 0.986 2.209 -47.6 36.53 15 0 0
32 24 1 673 0.752 1.209 1.112 9.959 -27.72 -11.48 16 0 0
33 24 1 673 0.752 6.925 1.112 1.738 -27.72 -11.48 16 0 0
34 17 1 477 0.908 1.174 1.034 12.372 -43.69 66.27 17 0 0
35 17 1 477 0.908 5.748 1.034 2.527 -43.69 66.27 17 0 0
36 25 1 701 1.044 1.16 0.857 14.398 -23.8 18.26 18 0 0
37 25 1 701 1.044 5.491 0.857 3.042 -23.8 18.26 18 0 0
38 18 1 505 0.872 1.139 0.996 12.243 -39.77 96.01 19 0 0
39 18 1 505 0.872 6.017 0.996 2.318 -39.77 96.01 19 0 0
40 26 1 729 0.799 1.153 1.255 11.089 3.92 29.74 20 0 0
41 26 1 729 0.799 6.161 1.255 2.076 3.92 29.74 20 0 0
42 19 1 533 0.813 1.234 1.054 10.534 -12.05 107.49 21 0 0
43 19 1 533 0.813 6.743 1.054 1.928 -12.05 107.49 21 0 0
44 27 1 757 1.083 1.175 0.833 14.739 27.72 11.48 22 0 0
45 27 1 757 1.083 5.908 0.833 2.932 27.72 11.48 22 0 0
46 20 1 561 0.987 1.143 0.841 13.819 11.75 89.23 23 0 0
47 20 1 561 0.987 4.936 0.841 3.199 11.75 89.23 23 0 0
48 28 1 785 0.972 1.225 1.028 12.693 23.8 -18.26 24 0 0
49 28 1 785 0.972 6.79 1.028 2.29 23.8 -18.26 24 0 0
50 21 1 589 0.845 1.147 1.034 11.792 7.83 59.49 25 0 0
51 21 1 589 0.845 6.862 1.034 1.971 7.83 59.49 25 0 0
52 23 1 645 0.86 1.184 0.99 11.618 -3.92 -29.74 26 0 0
53 23 1 645 0.86 6.391 0.99 2.152 -3.92 -29.74 26 0 0
54 16 1 449 1.06 1.181 0.992 14.353 -19.88 48.01 27 0 0
55 16 1 449 1.06 5.919 0.992 2.864 -19.88 48.01 27 0 0
56 22 1 617 0.825 1.212 1.024 10.894 0.0 0.0 28 0 0
57 22 1 617 0.825 5.652 1.024 2.335 0.0 0.0 28 0 0
58 15 1 421 0.764 1.188 1.255 10.289 -15.97 77.75 29 0 0
59 15 1 421 0.764 5.571 1.255 2.194 -15.97 77.75 29 0 0
4 1 2 30 0.986 1.17 1.033 13.487 59.35 52.7 2 0 0
5 1 2 30 0.986 5.591 1.033 2.822 59.35 52.7 2 0 0
6 8 2 226 1.155 1.168 0.858 15.83 43.38 130.45 3 0 0
7 8 2 226 1.155 4.873 0.858 3.793 43.38 130.45 3 0 0
8 5 2 142 0.889 1.228 1.126 11.589 63.26 82.45 4 0 0
9 5 2 142 0.889 7.017 1.126 2.028 63.26 82.45 4 0 0
10 12 2 338 0.873 1.278 1.02 10.93 47.3 160.2 5 0 0
11 12 2 338 0.873 6.126 1.02 2.281 47.3 160.2 5 0 0
12 4 2 114 0.904 1.224 1.365 11.812 35.55 70.97 6 0 0
13 4 2 114 0.904 6.216 1.365 2.326 35.55 70.97 6 0 0
14 11 2 310 0.909 1.114 0.823 13.051 19.58 148.72 7 0 0
15 11 2 310 0.909 5.045 0.823 2.883 19.58 148.72 7 0 0
16 3 2 86 1.048 1.221 0.866 13.736 31.63 41.22 8 0 0
17 3 2 86 1.048 5.243 0.866 3.199 31.63 41.22 8 0 0
18 10 2 282 1.128 1.143 0.913 15.796 15.66 118.97 9 0 0
19 10 2 282 1.128 5.817 0.913 3.103 15.66 118.97 9 0 0
20 2 2 58 0.883 1.185 0.848 11.924 55.43 22.96 10 0 0
21 2 2 58 0.883 4.751 0.848 2.973 55.43 22.96 10 0 0
22 9 2 254 0.822 1.157 1.079 11.363 39.46 100.71 11 0 0
23 9 2 254 0.822 7.622 1.079 1.725 39.46 100.71 11 0 0
24 7 2 198 1.117 1.176 0.723 15.193 83.15 34.44 12 0 0
25 7 2 198 1.117 7.241 0.723 2.468 83.15 34.44 12 0 0
26 14 2 394 1.168 1.305 0.937 14.317 67.18 112.19 13 0 0
27 14 2 394 1.168 7.451 0.937 2.508 67.18 112.19 13 0 0
28 6 2 170 1.004 1.172 0.988 13.705 87.06 64.18 14 0 0
29 6 2 170 1.004 5.166 0.988 3.11 87.06 64.18 14 0 0
30 13 2 366 1.094 1.1 0.649 15.92 71.1 141.93 15 0 0
31 13 2 366 1.094 5.393 0.649 3.247 71.1 141.93 15 0 0
32 24 2 674 0.967 1.091 1.028 14.171 90.98 93.93 16 0 0
33 24 2 674 0.967 5.772 1.028 2.68 90.98 93.93 16 0 0
34 17 2 478 0.803 1.081 1.187 11.89 75.01 171.68 17 0 0
35 17 2 478 0.803 5.07 1.187 2.535 75.01 171.68 17 0 0
36 25 2 702 0.942 1.144 0.937 13.171 94.9 123.67 18 0 0
37 25 2 702 0.942 6.013 0.937 2.506 94.9 123.67 18 0 0
38 18 2 506 0.89 1.203 1.057 11.837 78.93 201.42 19 0 0
39 18 2 506 0.89 5.802 1.057 2.453 78.93 201.42 19 0 0
40 26 2 730 0.933 1.28 1.688 11.67 122.61 135.15 20 0 0
41 26 2 730 0.933 6.534 1.688 2.286 122.61 135.15 20 0 0
42 19 2 534 0.892 1.094 0.974 13.041 106.64 212.9 21 0 0
43 19 2 534 0.892 5.583 0.974 2.556 106.64 212.9 21 0 0
44 27 2 758 1.03 1.245 1.188 13.236 146.41 116.89 22 0 0
45 27 2 758 1.03 6.226 1.188 2.646 146.41 116.89 22 0 0
46 20 2 562 0.921 1.14 0.907 12.933 130.44 194.64 23 0 0
47 20 2 562 0.921 5.593 0.907 2.636 130.44 194.64 23 0 0
48 28 2 786 0.896 1.119 0.983 12.806 142.5 87.15 24 0 0
49 28 2 786 0.896 6.344 0.983 2.26 142.5 87.15 24 0 0
50 21 2 590 1.091 1.148 0.848 15.205 126.53 164.9 25 0 0
51 21 2 590 1.091 5.767 0.848 3.027 126.53 164.9 25 0 0
52 23 2 646 0.99 1.072 0.647 14.777 114.78 75.67 26 0 0
53 23 2 646 0.99 4.576 0.647 3.462 114.78 75.67 26 0 0
54 16 2 450 0.902 1.23 1.079 11.726 98.81 153.41 27 0 0
55 16 2 450 0.902 7.646 1.079 1.887 98.81 153.41 27 0 0
56 22 2 618 0.839 1.196 1.156 11.219 118.7 105.41 28 0 0
57 22 2 618 0.839 5.464 1.156 2.456 118.7 105.41 28 0 0
58 15 2 422 0.797 1.135 0.927 11.237 102.73 183.16 29 0 0
59 15 2 422 0.797 5.244 0.927 2.432 102.73 183.16 29 0 0
