EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
9	748.413	95.101	52.219	34.643	9988.84	66.155	44.107
10	1691.676	134.471	82.002	49.864	19345.858	132.41	80.064
11	769.499	96.522	52.194	34.69	10281.157	65.257	42.532
12	729.893	96.638	52.31	34.002	10254.74	69.404	45.89
13	792.895	97.32	52.55	35.078	10418.698	69.09	45.235
14	1014.629	147.849	47.172	32.89	22883.124	49.794	19.694
15	769.538	94.516	51.835	34.148	9837.862	67.959	45.972
16	697.491	93.288	52.518	32.544	9606.358	66.255	45.235
17	730.303	96.813	51.857	34.587	10312.106	67.065	43.868
18	788.033	94.017	52.452	34.577	9775.653	66.53	45.072
19	865.05	90.409	50.291	32.227	9014.568	64.598	45.643
20	1497.129	102.718	92.191	38.773	11795.511	94.036	66.206
21	866.768	91.466	47.71	31.912	9174.504	62.171	42.844
22	930.054	91.316	48.451	32.702	9169.446	62.717	43.393
23	776.927	94.247	52.215	34.314	9787.646	68.73	46.803
24	3588.425	79.604	166.477	37.849	9103.717	71.11	63.253
25	800.381	93.143	51.254	34.224	9587.495	64.928	44.187
26	740.568	93.669	52.679	33.561	9661.509	69.584	47.988
27	775.916	93.356	52.404	33.598	9623.557	67.078	45.972
28	1745.633	211.351	86.438	37.903	45805.731	195.617	67.82
29	804.248	144.256	52.654	34.751	22118.299	31.163	12.474
30	736.815	95.728	50.888	34.588	10069.697	67.293	44.668
31	790.813	94.091	52.003	35.248	9817.345	63.729	42.61
32	764.075	95.616	52.568	33.853	10047.48	69.873	46.97
33	769.882	97.926	52.398	34.961	10523.343	70.39	45.972
34	847.617	94.542	51.881	33.636	9839.127	67.657	45.725
35	906.161	90.965	48.324	31.679	9099.184	61.253	42.299
36	798.815	96.024	50.842	35.651	10145.335	67.155	44.347
37	751.611	93.982	51.409	35.526	9815.094	60.301	39.941
38	744.607	94.953	52.308	33.878	9908.307	70.008	47.476
39	818.418	92.221	51.416	34.775	9455.647	61.373	41.682
40	2457.305	192.692	73.853	45.156	38168.763	190.791	81.89
41	957.644	92.146	48.746	32.834	9331.176	63.303	43.393
42	771.612	93.268	53.07	32.761	9613.012	66.719	45.643
43	775.638	96.218	52.497	35.668	10183.515	71.185	47.731
44	764.275	95.638	50.808	36.894	10105.796	64.931	42.766
45	928.846	90.606	48.165	32.66	9020.298	63.629	44.588
46	686.97	95.167	51.748	35.706	10050.903	61.204	40.016
47	749.975	95.647	51.754	34.205	10055.555	68.524	45.725
48	1339.927	105.342	92.678	38.956	12355.196	96.466	66.348
49	806.204	94.104	52.063	33.056	9764.132	66.174	44.668
50	767.461	95.157	50.181	35.612	9989.495	63.265	41.682
51	720.862	93.645	51.707	34.018	9677.197	66.46	45.235
52	823.0	93.184	51.336	35.203	9652.729	60.485	40.466
53	710.788	95.018	52.076	35.142	10004.446	63.254	41.759
54	931.13	89.636	48.005	30.865	8826.872	61.761	43.551
55	755.522	95.917	50.27	35.426	10103.666	67.564	44.749
56	767.185	96.539	52.053	34.907	10249.234	68.823	45.48
57	894.025	90.745	47.891	32.945	9102.599	56.38	38.389
58	730.96	97.201	53.855	33.951	10429.708	67.179	43.709
59	764.419	93.842	50.488	35.067	9701.102	66.811	45.398
60	746.124	95.866	53.151	34.129	10146.805	67.061	44.427
61	707.277	94.055	51.656	34.82	9783.792	64.933	43.63
62	727.163	94.783	51.644	35.191	9890.25	69.255	46.97
63	762.731	251.0	53.534	33.816	64106.795	152.412	37.373
64	837.329	193.158	49.528	33.969	38516.569	4.502	1.318
65	728.862	97.54	53.235	34.416	10509.115	65.312	42.067
66	757.735	95.283	51.604	34.41	9964.199	70.33	47.561
67	788.861	95.453	52.078	35.253	10027.291	69.898	47.054
68	699.917	91.084	51.542	35.658	9253.153	61.556	42.532
69	895.699	88.437	48.108	32.229	8636.838	60.549	43.236
70	780.749	94.375	53.583	34.717	9865.65	67.404	45.561
71	914.775	89.76	47.611	32.067	8852.65	62.296	43.948
72	779.33	94.488	50.829	34.34	9837.612	65.338	43.709
73	796.621	94.254	52.996	35.4	9855.167	65.863	44.347
74	942.306	91.431	48.515	32.481	9194.293	62.202	42.844
75	1651.123	167.736	85.81	52.483	31278.731	66.558	23.391
76	747.931	95.317	53.416	34.316	10010.884	70.154	47.392
77	794.417	95.947	52.273	35.343	10169.08	66.151	43.551
78	771.114	97.232	51.29	35.174	10399.84	66.134	42.844
79	759.601	95.291	51.401	34.869	10031.567	63.844	42.067
80	746.48	94.546	51.429	34.317	9855.429	66.137	44.427
81	894.57	89.909	48.522	31.348	8889.974	62.418	43.948
82	757.122	96.815	52.656	34.853	10326.599	68.013	44.668
83	748.862	94.079	51.365	36.77	9821.902	63.691	42.61
84	820.485	96.973	52.316	34.976	10361.412	67.082	43.789
85	934.891	90.39	46.846	33.175	9000.264	57.993	39.941
86	753.87	96.068	53.229	33.722	10206.835	64.901	42.532
87	786.431	93.895	51.593	33.417	9708.546	67.003	45.561
88	811.653	96.098	51.151	36.214	10201.564	64.159	41.913
89	767.224	320.323	52.988	35.082	103346.179	293.537	66.348
90	1631.735	165.3	87.339	52.386	30606.759	61.163	21.716
91	925.511	90.498	48.492	32.153	9011.85	62.326	43.551
92	887.85	236.95	50.395	33.382	56751.041	228.21	74.365
93	737.829	93.077	51.507	34.107	9560.104	66.778	45.807
94	887.254	307.98	52.729	33.082	95751.068	233.94	49.464
95	758.967	91.494	52.732	33.468	9267.107	67.093	47.138
96	1519.743	286.097	80.918	39.012	83648.051	217.911	49.641
97	754.484	171.446	52.84	33.462	30095.382	155.279	64.958
98	948.501	90.512	48.031	32.814	9028.721	60.471	41.913
99	875.539	91.715	48.664	32.207	9242.91	62.769	43.157
100	493.91	328.14	38.789	37.467	108375.397	327.896	87.437
101	922.238	88.741	48.224	32.148	8671.908	62.999	45.235
102	748.775	94.475	50.985	35.77	9858.312	65.607	43.948
103	5896.961	66.523	130.445	61.54	9519.46	17.951	15.664
104	810.009	92.884	51.901	35.036	9586.497	62.74	42.454
105	984.592	234.04	51.836	31.843	55320.653	228.11	77.161
106	1663.613	101.897	91.229	39.277	13275.346	51.503	30.331
107	1581.717	210.912	85.856	36.765	45715.742	189.779	64.158
108	788.283	297.572	52.431	35.064	89796.925	117.127	23.204
109	860.188	91.585	46.95	32.54	9206.997	59.643	40.617
110	706.402	96.869	52.324	35.745	10339.811	68.391	44.91
111	725.35	96.702	51.579	34.325	10281.592	66.79	43.709
112	1079.529	86.785	49.641	30.077	8271.99	66.314	49.818
113	597.613	185.016	50.935	34.998	34943.591	169.844	66.635
114	787.969	94.233	51.306	34.562	9807.693	64.786	43.472
115	947.307	91.313	49.127	32.852	9170.03	64.536	44.991
116	771.09	92.748	50.132	34.118	9467.201	66.624	45.89
117	748.849	95.082	52.796	34.613	9980.676	67.856	45.561
118	787.406	93.756	49.869	36.341	9718.23	63.368	42.532
119	892.051	258.542	52.035	34.997	67515.924	247.333	73.137
120	770.438	296.88	53.829	34.746	89455.436	112.556	22.272
121	996.533	106.627	46.19	33.369	12212.175	65.522	37.879
122	756.836	95.499	51.884	35.337	10066.201	66.579	44.187
123	784.38	97.231	52.285	33.905	10357.262	70.83	46.719
124	776.422	299.393	52.904	35.408	90906.619	117.877	23.204
125	729.952	95.041	52.343	34.581	9973.834	66.67	44.507
126	700.85	253.581	53.092	33.973	65465.559	135.242	32.208
127	1467.277	107.783	91.481	38.311	12945.659	96.744	63.896
128	864.359	90.64	47.967	32.227	9038.049	61.097	42.377
